nom,pays,favorite,date,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Friant,Belgique,0,2019-08-23 00:00:00,bonne expérience pour une nuit mais n'irai pas pour mes vacances,"situation, chambre propre, isolation phonique par rapport à extérieur très bonne",le prix du petit déjeuner est exorbitant,"7,1",Hôtel,Nice," 8,0 "
Claudine,Suisse,0,2019-08-19 00:00:00,Fabuleux ,"la gentillesse et le professionnalisme des personnes des personnes à l'accueil. La chambre spacieuse et très bien équipée, la literie est très confortable. La qualité et l'énorme choix du petit déjeuner était juste exceptionnelle. La plage privée. La piscine sur le toit. Le tram juste derrière l'hôtel.",Le manque de place au petit déjeuner. L'hôtel un peu loin du centre mais ça fait du bien de marcher un peu.,"9,2",Hôtel,Nice," 8,0 "
Pacalousud,Belgique,0,2019-08-18 00:00:00,Vue sur la mer admirable,"Le personnel disponible, confort, piscine, au bord de la mer, facile d accès de l aéroport et du centre ville en transport en commun","L équipement fitness, pas de matériel, pas de place, déception car ç était bien mentionné dans la description","8,8",Hôtel,Nice," 8,0 "
Marie,Suisse,0,2019-08-18 00:00:00,Agréable,Proximité de la mer.,"Trop petits espaces, pas de place dans la piscine ni le restaurant. Les plages sont payantes et il faut s'y prendre en avance pour chaque réservation...","6,7",Hôtel,Nice," 8,0 "
Sophie,France,0,2019-08-16 00:00:00,Fabuleux ,Chambre très propre et spacieuse. Piscine sur le toit très agréable. Personnel à l’écoute et charmant. Petit déjeuner avec beaucoup de choix.,Tout était parfait,"9,2",Hôtel,Nice," 8,0 "
Richard,France,0,2019-08-15 00:00:00,Fabuleux ,Plage privée,La pina colada du bar piscine nulle,"9,2",Hôtel,Nice," 8,0 "
Georges,France,0,2019-08-06 00:00:00,L'hôtel Radisson Blue reste une valeur sûre sur Nice,"Le Radisson Blue de Nice reste une valeur sûre, avec un emplacement privilégié en première ligne et son toit qui offre à la fois une piscine, un bar et un restaurant panoramique sur la baie (dépaysement assuré).","Fort de tous ses avantages l'hôtel draine une clientèle de bon niveau financier mais pas nécessairement de bonne éducation, notamment le soir venu où certains estivants sont particulièrement bruyants en retour de fête en ville, quand ils ne la font pas directement en chambre. Nous avons dû signaler à la réception un voisin très bruyant en heures très tardives dès le second jour.","8,8",Hôtel,Nice," 8,0 "
Audrey,France,0,2019-08-03 00:00:00,Bien ,La vue,L’insonorisation pourrait être meilleure pour les chambres qui donnent sur la mer.,"7,9",Hôtel,Nice," 8,0 "
Alexandre,France,0,2019-07-23 00:00:00,Un peu déçu,Les équipements dont la piscine sur le toit,"Le manque de rigueur (ex petit dej au 223 après 10h30 2 viennoiseries/1boisson chaude/1 jus-12euro/perso- résultat 1 mini viennoiserie)
La plage propre mais une lenteur dans les commandes sur plage et un manque de professionnalisme dans le suivi des commandes.
Du coup, le rapport qualité/prix apparaît nettement en retrait.","6,7",Hôtel,Nice," 8,0 "
Stephane,France,0,2019-07-21 00:00:00,Fabuleux ,None,Le matelas légèrement trop souple a mon goût,"9,2",Hôtel,Nice," 8,0 "
Magali,France,0,2019-07-19 00:00:00,Superbe,Le rooftop et le personnel au petit soin,L’emplacement et les travaux qui gachent un peu la vue,"8,8",Hôtel,Nice," 8,0 "
Gerard,France,0,2019-07-07 00:00:00,sejou r court mais satisfaisant,emplacement ideal terrasse.,None,"8,8",Hôtel,Nice," 8,0 "
Steing,France,0,2019-07-06 00:00:00,Fabuleux ,"ROOF TOP
LA CHAMBRE",NE PAS FERMER LA PISCINE AUSSI TÔT EN ETE,"9,2",Hôtel,Nice," 8,0 "
Nabil,France,1,2019-07-05 00:00:00,Fabuleux ,"La piscine sur le toit , la vue face à la mer 
Le Personnel","Le prix du petit dej vraiment très cher surtout avec un enfant qui déjeune très peu .
Le prix du parking .
Le Check IN a 15h pas top","9,2",Hôtel,Nice," 8,0 "
Nathalie,Belgique,0,2019-07-03 00:00:00,Superbe moment dans un endroit calme,Beau Buffet déjeuner literie confortable salle de bain spacieuse exellente insonorisation des chambres bonne situation géographique piscine sur le toit exellent restaurant avec une vue magnifique sur Nice,None,"7,5",Hôtel,Nice," 8,0 "
Aurelie,France,0,2019-07-03 00:00:00,Superbe,None,Problèmes administratifs à l’accueil,"8,8",Hôtel,Nice," 8,0 "
Stéphane,France,0,2019-06-27 00:00:00,Bien ,None,Aucun bar après 23h,"7,9",Hôtel,Nice," 8,0 "
